index,token,entropy,surprisal,novelty,curvature,structural_importance,rho,route
0,Se,0.0,0.0,0.0,0.0,1.0,0.25,cheap
1, n,0.6871105432510376,8.391440391540527,0.48185908794403076,0.0,1.0,0.7726895809173584,expensive
2,ão,0.40195050835609436,3.2853360176086426,0.4335567355155945,1.7702796459197998,1.0,0.5099778771400452,medium
3, ch,0.47456830739974976,5.82631778717041,0.4429342746734619,1.7795008420944214,0.0,0.5643163919448853,medium
4,over,0.0370500274002552,8.083548545837402,0.14032304286956787,1.858752965927124,0.0,0.28412824869155884,cheap
5, e,0.44600051641464233,4.7225446701049805,0.12802743911743164,1.099840760231018,1.0,0.551921546459198,medium
6, ap,0.550033688545227,5.566038131713867,0.2641645669937134,1.11753249168396,1.0,0.6614081859588623,medium
7,enas,0.29519903659820557,2.464972496032715,0.23730337619781494,1.9351402521133423,1.0,0.42679300904273987,medium
8, se,0.5129995346069336,3.166260004043579,0.15943139791488647,1.3839219808578491,1.0,0.569222092628479,medium
9, o,0.29200780391693115,3.679957866668701,0.1751326322555542,1.2160062789916992,0.0,0.28236690163612366,cheap
10, vent,0.5415400266647339,12.51020622253418,0.2784281373023987,1.2699332237243652,0.0,0.5090977549552917,medium
11,o,0.1186354011297226,0.2680286467075348,0.13992786407470703,1.7415294647216797,0.0,0.14081785082817078,cheap
12, par,0.47830742597579956,8.07453727722168,0.24800372123718262,1.4670581817626953,0.0,0.49498963356018066,medium
13,ar,0.3375188112258911,2.8731439113616943,0.15792441368103027,1.4742872714996338,0.0,0.20231136679649353,cheap
14,",",0.4323437809944153,4.151848793029785,0.15925908088684082,1.1244595050811768,1.0,0.5523432493209839,medium
15, ent,0.4834238588809967,3.8124239444732666,0.3838958740234375,1.5893206596374512,1.0,0.7131063342094421,expensive
16,ão,0.025206251069903374,0.043322108685970306,0.15141451358795166,2.079977512359619,1.0,0.3213997781276703,cheap
17, pod,0.47127869725227356,5.093451499938965,0.23417162895202637,1.6438919305801392,0.0,0.42751675844192505,medium
18,em,0.22404849529266357,1.0515525341033936,0.15359508991241455,1.474434494972229,0.0,0.1528642624616623,cheap
19,os,0.3581276834011078,1.2848906517028809,0.143901526927948,0.7998379468917847,0.0,0.11923345178365707,cheap
20, sa,0.4691157937049866,6.836324214935303,0.4547330141067505,1.2134631872177124,0.0,0.5311379432678223,medium
21,ir,0.07035467028617859,0.1560969054698944,0.13711607456207275,1.8810877799987793,0.0,0.14236144721508026,cheap
22,;,0.2989014983177185,5.286703586578369,0.19815778732299805,1.3289932012557983,1.0,0.5996302962303162,medium
23, exc,0.36956551671028137,8.46642780303955,0.350339412689209,1.3420683145523071,1.0,0.7711668014526367,expensive
24,eto,0.3716766834259033,1.4368399381637573,0.08016848564147949,1.9809271097183228,1.0,0.365553617477417,medium
25, se,0.43356451392173767,2.5948829650878906,0.09683454036712646,1.136866807937622,1.0,0.482276052236557,medium
26, h,0.388397753238678,5.308498382568359,0.39071834087371826,1.0958704948425293,0.0,0.43501418828964233,medium
27,ouver,0.12866322696208954,1.7870724201202393,0.10201799869537354,1.7405766248703003,0.0,0.1571216881275177,cheap
28, alert,0.4644363820552826,8.321266174316406,0.17146193981170654,1.1333518028259277,0.0,0.4251825213432312,medium
29,a,0.13805557787418365,0.2669437527656555,0.08108282089233398,1.2734912633895874,0.0,0.08736197650432587,cheap
30,.,0.4003998041152954,2.1829612255096436,0.3487499952316284,1.1324303150177002,0.0,0.33809220790863037,cheap
