index,token,entropy,surprisal,novelty,curvature,structural_importance,rho,route
0,O,0.0,0.0,0.0,0.0,0.0,0.0,cheap
1, dia,0.6582973599433899,14.286927223205566,0.5173739194869995,0.0,0.0,0.49597251415252686,medium
2, come,0.5795309543609619,7.112665176391602,0.2750117778778076,1.275185227394104,0.0,0.4025568962097168,medium
3,ç,0.32267457246780396,0.9531862139701843,0.3347100615501404,1.2189407348632812,0.0,0.15547224879264832,cheap
4,ou,0.16622576117515564,4.22039794921875,0.24392998218536377,1.9172617197036743,1.0,0.40400034189224243,medium
5, calm,0.46262800693511963,15.687376976013184,0.11129331588745117,1.3915895223617554,0.0,0.3831520080566406,medium
6,o,0.3835097849369049,4.108701705932617,0.09376251697540283,1.1273921728134155,0.0,0.14613032341003418,cheap
7,.,0.3990158140659332,1.9728862047195435,0.5605679750442505,0.9668640494346619,0.0,0.3131449520587921,cheap
8, As,0.4243095815181732,6.476776599884033,0.22660702466964722,2.0837225914001465,0.0,0.44280368089675903,medium
9, p,0.4615614116191864,5.854091644287109,0.3818473815917969,1.5277501344680786,0.0,0.4224082827568054,medium
10,ess,0.28384608030319214,1.4499449729919434,0.3891505002975464,1.7632951736450195,0.0,0.22114799916744232,cheap
11,o,0.07605201005935669,0.4928615689277649,0.5022507309913635,1.689319372177124,0.0,0.20173867046833038,cheap
12,as,0.05776249244809151,0.10127365589141846,0.2046138048171997,1.783440113067627,0.0,0.1233408972620964,cheap
13, c,0.5102259516716003,5.628612518310547,0.2795630693435669,1.4599312543869019,0.0,0.37901049852371216,medium
14,amin,0.3122628927230835,4.6410813331604,0.22425025701522827,1.4290443658828735,0.0,0.206431046128273,cheap
15,har,0.2232411950826645,1.8203492164611816,0.18936723470687866,1.3491758108139038,0.0,0.13117583096027374,cheap
16,am,0.33633697032928467,2.450113534927368,0.21120083332061768,1.0045922994613647,0.0,0.1314905881881714,cheap
17, pel,0.441461443901062,4.989984512329102,0.2638040781021118,1.080161452293396,0.0,0.29750674962997437,cheap
18,a,0.17219524085521698,0.9993206858634949,0.3882301449775696,1.941961646080017,0.0,0.21491433680057526,cheap
19, pra,0.5690844058990479,7.7947587966918945,0.33177804946899414,1.647513508796692,0.0,0.4852200746536255,medium
20,ç,0.1934044510126114,3.2053627967834473,0.4139934778213501,1.7930388450622559,0.0,0.24866677820682526,cheap
21,a,0.04316868260502815,0.07078111171722412,0.2288951277732849,2.0478549003601074,0.0,0.1505998820066452,cheap
22,",",0.3736269176006317,1.100557565689087,0.2832396626472473,1.1818866729736328,1.0,0.4609878957271576,medium
23, compr,0.4909869134426117,7.878107070922852,0.31971073150634766,1.2422446012496948,0.0,0.4177212417125702,medium
24,aram,0.28017890453338623,1.6891015768051147,0.168468177318573,2.4497995376586914,0.0,0.201667919754982,cheap
25, p,0.45365670323371887,5.191374778747559,0.37080538272857666,1.8786123991012573,0.0,0.4449092745780945,medium
26,ão,0.13079674541950226,6.885128498077393,0.14389026165008545,2.170691728591919,0.0,0.26466017961502075,cheap
27,",",0.35621505975723267,1.8917287588119507,0.24515807628631592,1.1447001695632935,1.0,0.45816293358802795,medium
28, convers,0.5530004501342773,9.388504028320312,0.2920597791671753,1.2760934829711914,0.0,0.4523352086544037,medium
29,aram,0.2754729688167572,1.378703236579895,0.17439806461334229,2.4525771141052246,0.0,0.19735275208950043,cheap
30, so,0.3913992643356323,4.432024955749512,0.3965111970901489,1.7295900583267212,0.0,0.4061334729194641,medium
