index,token,entropy,surprisal,novelty,curvature,structural_importance,rho,route
0,Expl,0.0,0.0,0.0,0.0,0.0,0.0,cheap
1,ique,0.6674324870109558,19.602596282958984,0.3647838830947876,0.0,0.0,0.3640964925289154,medium
2, por,0.6165419220924377,8.83203411102295,0.30220770835876465,1.281930685043335,0.0,0.6485040783882141,medium
3, que,0.6548681259155273,4.475895881652832,0.23061692714691162,0.9736536741256714,0.0,0.45446687936782837,medium
4, a,0.4891420006752014,3.247875928878784,0.16623389720916748,0.9150132536888123,0.0,0.34669581055641174,cheap
5, in,0.48269787430763245,8.262109756469727,0.28529250621795654,0.852621853351593,0.0,0.5411814451217651,medium
6,vers,0.27892184257507324,2.2498726844787598,0.20464646816253662,1.2729089260101318,0.0,0.24758359789848328,cheap
7,a,0.1912701576948166,1.159882664680481,0.13910013437271118,1.2939279079437256,0.0,0.19081570208072662,cheap
8, de,0.5046529769897461,2.5099217891693115,0.1108694076538086,1.1299927234649658,0.0,0.32931309938430786,cheap
9, f,0.5403138995170593,5.8137054443359375,0.3462388515472412,1.1011099815368652,1.0,0.8029569387435913,expensive
10,(,0.4340076148509979,3.771653175354004,0.26945924758911133,1.2128143310546875,1.0,0.7009050846099854,expensive
11,x,0.280879944562912,1.2233731746673584,0.13463568687438965,1.1023516654968262,1.0,0.5125415325164795,medium
12,)=,0.20878544449806213,4.648390769958496,0.1344802975654602,0.8717848062515259,1.0,0.5613182783126831,medium
13,5,0.32719752192497253,5.192098617553711,0.05891364812850952,0.8159462809562683,1.0,0.5480066537857056,medium
14,x,0.4487009048461914,2.896458148956299,0.05454421043395996,0.469727098941803,1.0,0.45425140857696533,medium
15,+,0.3262282907962799,1.246549129486084,0.10268354415893555,0.6600035429000854,1.0,0.44032418727874756,medium
16,1,0.20193366706371307,1.1339797973632812,0.08743321895599365,1.2223503589630127,1.0,0.48701387643814087,medium
17, é,0.366494745016098,4.923696041107178,0.3187863230705261,0.9949321150779724,0.0,0.46665245294570923,medium
18, (,0.5085166096687317,7.328112602233887,0.07060331106185913,1.2611479759216309,1.0,0.7100718021392822,expensive
19,x,0.38921836018562317,1.1432950496673584,0.03577148914337158,1.2329833507537842,1.0,0.4940083622932434,medium
20,-,0.2777710258960724,1.965142011642456,0.06337887048721313,0.8297231793403625,1.0,0.45415082573890686,medium
21,1,0.16952553391456604,0.687380313873291,0.03452599048614502,0.9235380291938782,1.0,0.3994094133377075,medium
22,)/,0.22715258598327637,2.9826431274414062,0.09460026025772095,0.9015227556228638,1.0,0.5007405281066895,medium
23,5,0.18548664450645447,2.010127067565918,0.09478068351745605,1.2368929386138916,1.0,0.5144627094268799,medium
24,.,0.3743266761302948,1.7035068273544312,0.44447481632232666,1.1664484739303589,0.0,0.42676228284835815,medium
