policy_name,prompt_name,entropy_threshold,margin_threshold,total_steps,accepted_steps,fallback_steps,accept_rate,exact_precision_accept,topk_precision_accept,false_accept_rate,estimated_saved_percent
old_0.45_0.20,ALL,0.45,0.2,200,144,56,0.72,0.8541666666666666,0.9722222222222222,0.027777777777777776,37.0
calibrated_0.35_0.20,ALL,0.35,0.2,200,143,57,0.715,0.8601398601398601,0.9790209790209791,0.02097902097902098,36.5
strict_0.30_0.20,ALL,0.3,0.2,200,141,59,0.705,0.8723404255319149,0.9787234042553191,0.02127659574468085,35.5
loose_0.50_0.15,ALL,0.5,0.15,200,149,51,0.745,0.8389261744966443,0.9664429530201343,0.03355704697986577,39.5
old_0.45_0.20,code,0.45,0.2,40,37,3,0.925,0.918918918918919,1.0,0.0,57.49999999999999
calibrated_0.35_0.20,code,0.35,0.2,40,37,3,0.925,0.918918918918919,1.0,0.0,57.49999999999999
strict_0.30_0.20,code,0.3,0.2,40,37,3,0.925,0.918918918918919,1.0,0.0,57.49999999999999
loose_0.50_0.15,code,0.5,0.15,40,37,3,0.925,0.918918918918919,1.0,0.0,57.49999999999999
old_0.45_0.20,easy,0.45,0.2,40,33,7,0.825,0.8181818181818182,0.9696969696969697,0.030303030303030304,47.5
calibrated_0.35_0.20,easy,0.35,0.2,40,33,7,0.825,0.8181818181818182,0.9696969696969697,0.030303030303030304,47.5
strict_0.30_0.20,easy,0.3,0.2,40,33,7,0.825,0.8181818181818182,0.9696969696969697,0.030303030303030304,47.5
loose_0.50_0.15,easy,0.5,0.15,40,34,6,0.85,0.8235294117647058,0.9705882352941176,0.029411764705882353,50.0
old_0.45_0.20,logic_negation,0.45,0.2,40,23,17,0.575,0.8695652173913043,0.9565217391304348,0.043478260869565216,22.5
calibrated_0.35_0.20,logic_negation,0.35,0.2,40,23,17,0.575,0.8695652173913043,0.9565217391304348,0.043478260869565216,22.5
strict_0.30_0.20,logic_negation,0.3,0.2,40,23,17,0.575,0.8695652173913043,0.9565217391304348,0.043478260869565216,22.5
loose_0.50_0.15,logic_negation,0.5,0.15,40,25,15,0.625,0.8,0.92,0.08,27.500000000000004
old_0.45_0.20,long_simple,0.45,0.2,40,21,19,0.525,0.7619047619047619,0.9523809523809523,0.047619047619047616,17.5
calibrated_0.35_0.20,long_simple,0.35,0.2,40,21,19,0.525,0.7619047619047619,0.9523809523809523,0.047619047619047616,17.5
strict_0.30_0.20,long_simple,0.3,0.2,40,19,21,0.475,0.8421052631578947,0.9473684210526315,0.05263157894736842,12.5
loose_0.50_0.15,long_simple,0.5,0.15,40,22,18,0.55,0.7727272727272727,0.9545454545454546,0.045454545454545456,20.0
old_0.45_0.20,math,0.45,0.2,40,30,10,0.75,0.8666666666666667,0.9666666666666667,0.03333333333333333,40.0
calibrated_0.35_0.20,math,0.35,0.2,40,29,11,0.725,0.896551724137931,1.0,0.0,37.5
strict_0.30_0.20,math,0.3,0.2,40,29,11,0.725,0.896551724137931,1.0,0.0,37.5
loose_0.50_0.15,math,0.5,0.15,40,31,9,0.775,0.8387096774193549,0.967741935483871,0.03225806451612903,42.5
