category,difficulty,mode,count,pass_rate,avg_score,avg_estimated_saved_percent,avg_expensive_model_calls
code,easy,expensive_only,5,1.0,1.0,0.0,18.4
code,easy,cheap_only,5,1.0,1.0,65.0,0.0
code,easy,adaptive_calibrated,5,1.0,1.0,60.92876324773886,2.6
code,easy,adaptive_guarded_v3,5,1.0,1.0,59.60243203132459,3.8
code,easy,speculative_adaptive,5,1.0,1.0,40.67913253909159,5.2
code,easy,hybrid,5,1.0,1.0,40.67913253909159,5.2
code,medium,expensive_only,5,1.0,1.0,0.0,37.4
code,medium,cheap_only,5,1.0,1.0,65.0,0.0
code,medium,adaptive_calibrated,5,1.0,1.0,61.13443223443223,4.4
code,medium,adaptive_guarded_v3,5,1.0,1.0,60.006341575091575,5.6
code,medium,speculative_adaptive,5,1.0,1.0,47.5807991383439,6.0
code,medium,hybrid,5,1.0,1.0,56.67706986640811,6.2
code,hard,expensive_only,5,0.8,0.8,0.0,52.2
code,hard,cheap_only,5,0.4,0.4,65.0,0.0
code,hard,adaptive_calibrated,5,0.6,0.6,59.37235169491525,7.0
code,hard,adaptive_guarded_v3,5,0.6,0.6,57.1583686440678,9.8
code,hard,speculative_adaptive,5,0.4,0.4,45.074843554443056,12.0
code,hard,hybrid,5,0.6,0.6,54.4734375,7.6
logic,easy,expensive_only,5,1.0,1.0,0.0,2.0
logic,easy,cheap_only,5,1.0,1.0,65.0,0.0
logic,easy,adaptive_calibrated,5,1.0,1.0,45.00000000000001,0.6
logic,easy,adaptive_guarded_v3,5,1.0,1.0,45.00000000000001,0.6
logic,easy,speculative_adaptive,5,1.0,1.0,25.833333333333336,1.0
logic,easy,hybrid,5,1.0,1.0,45.00000000000001,0.6
logic,medium,expensive_only,5,1.0,1.0,0.0,2.2
logic,medium,cheap_only,5,0.6,0.6,65.0,0.0
logic,medium,adaptive_calibrated,5,0.8,0.8,53.66666666666667,0.4
logic,medium,adaptive_guarded_v3,5,0.8,0.8,53.66666666666667,0.4
logic,medium,speculative_adaptive,5,1.0,1.0,-5.6666666666666625,1.4
logic,medium,hybrid,5,0.8,0.8,53.66666666666667,0.4
logic,hard,expensive_only,5,0.8,0.8,0.0,21.4
logic,hard,cheap_only,5,0.8,0.8,65.0,0.0
logic,hard,adaptive_calibrated,5,0.8,0.8,50.81395348837209,2.0
logic,hard,adaptive_guarded_v3,5,0.8,0.8,50.81395348837209,2.0
logic,hard,speculative_adaptive,5,0.8,0.8,-5.379999999999995,3.4
logic,hard,hybrid,5,0.8,0.8,50.81395348837209,2.0
math,easy,expensive_only,5,1.0,1.0,0.0,3.2
math,easy,cheap_only,5,0.6,0.6,65.00000000000001,0.0
math,easy,adaptive_calibrated,5,1.0,1.0,48.333333333333336,0.4
math,easy,adaptive_guarded_v3,5,1.0,1.0,48.333333333333336,0.4
math,easy,speculative_adaptive,5,0.8,0.8,14.253968253968253,2.0
math,easy,hybrid,5,1.0,1.0,48.333333333333336,0.4
math,medium,expensive_only,5,1.0,1.0,0.0,6.0
math,medium,cheap_only,5,0.6,0.6,65.0,0.0
math,medium,adaptive_calibrated,5,1.0,1.0,57.82051282051282,0.4
math,medium,adaptive_guarded_v3,5,1.0,1.0,57.82051282051282,0.4
math,medium,speculative_adaptive,5,0.6,0.6,26.322544642857146,4.8
math,medium,hybrid,5,1.0,1.0,57.82051282051282,0.4
math,hard,expensive_only,5,0.6,0.6,0.0,7.0
math,hard,cheap_only,5,0.6,0.6,65.0,0.0
math,hard,adaptive_calibrated,5,0.6,0.6,51.77715238690848,1.0
math,hard,adaptive_guarded_v3,5,0.6,0.6,50.80154263081093,1.4
math,hard,speculative_adaptive,5,0.6,0.6,-7.676829268292684,3.8
math,hard,hybrid,5,0.6,0.6,51.77715238690848,1.0
