category,mode,count,pass_rate,avg_score,avg_estimated_saved_percent,avg_expensive_model_calls
code,expensive_only,5,1.0,1.0,0.0,96.0
code,cheap_only,5,1.0,1.0,65.00000000000001,0.0
code,adaptive_calibrated,5,1.0,1.0,62.08333333333335,2.8
code,adaptive_guarded_v3,5,1.0,1.0,61.66666666666667,3.2
code,speculative_adaptive,5,1.0,1.0,50.04342105263159,13.2
code,hybrid,5,1.0,1.0,62.08333333333335,2.8
logic,expensive_only,5,1.0,1.0,0.0,20.8
logic,cheap_only,5,1.0,1.0,65.0,0.0
logic,adaptive_calibrated,5,1.0,1.0,55.0,0.4
logic,adaptive_guarded_v3,5,1.0,1.0,55.0,0.4
logic,speculative_adaptive,5,1.0,1.0,23.822916666666668,5.0
logic,hybrid,5,1.0,1.0,55.0,0.4
math,expensive_only,5,0.8,0.8,0.0,5.0
math,cheap_only,5,0.2,0.2,65.00000000000001,0.0
math,adaptive_calibrated,5,0.8,0.8,47.820512820512825,0.6
math,adaptive_guarded_v3,5,0.8,0.8,47.820512820512825,0.6
math,speculative_adaptive,5,0.4,0.4,3.4618055555555616,3.8
math,hybrid,5,0.8,0.8,47.820512820512825,0.6
