prompt_name,step,cheap_entropy,cheap_top1_prob,cheap_top2_prob,cheap_margin,cheap_token_id,cheap_token,expensive_top1_token_id,expensive_top1_token,expensive_topk_token_ids,expensive_topk_tokens,exact_match,topk_match,cheap_rank_in_expensive,topk_kl_expensive_to_cheap
easy,0,0.19207634031772614,0.6510611176490784,0.03810075670480728,0.6129603609442711,198,\n,198,\n,198 2 3717 216 365,\n | <|im_end|> |  \n |   |  (,True,True,1,1.3524562120437622
easy,1,0.05370475724339485,0.9059649109840393,0.03705723211169243,0.8689076788723469,198,\n,198,\n,198 49 26 3725 65,\n | A | * | ``` | Q,True,True,1,0.5819994211196899
easy,2,0.3436663746833801,0.1240101084113121,0.0976557508111,0.026354357600212097,35044,Aqu,49,A,49 64 2516 788 26,A | P | Ex | In | *,False,False,,0.6464240550994873
easy,3,0.007931594736874104,0.9908769726753235,0.0030281285289674997,0.987848844146356,10046, fr,10046, fr,10046 42 95 895 1133, fr | : | o |  sim |  cor,True,True,1,1.388965368270874
easy,4,1.2000510650977958e-05,0.9999898672103882,9.820122613746207e-06,0.9999800470877744,576,ase,576,ase,576 1049 13108 821 22069,ase | ases | ASE | ased | ê,True,True,1,4.234269727021456e-05
easy,5,0.03056817501783371,0.9579252600669861,0.005474979057908058,0.952450281009078,26411, é,10168, que,10168 26411 649 367 476," que |  é |  em |  de |  """,False,True,2,2.9016757011413574
easy,6,0.07203206419944763,0.8542982339859009,0.04930490627884865,0.8049933277070522,26411, é,18325, voc,18325 29512 26411 1264 549, voc |  eu |  é |  est |  me,False,True,3,4.415414333343506
easy,7,0.0001845428196247667,0.9998328685760498,3.9824113628128543e-05,0.9997930444624217,22069,ê,22069,ê,22069 5415 31173 266 142,ê | á | Ã | es | �,True,True,1,0.000123702033306472
easy,8,0.2551964521408081,0.240240216255188,0.1923474669456482,0.047892749309539795,31562, quer,273, p,273 3146 367 1599 1264, p |  prec |  de |  es |  est,False,False,,0.9542644023895264
easy,9,0.028499240055680275,0.9439216256141663,0.0229287538677454,0.9209928717464209,1182,ode,1182,ode,1182 9140 3237 522 2055,ode | oder | odes | are | ued,True,True,1,0.05035323649644852
easy,10,0.28010186553001404,0.23631197214126587,0.11771009862422943,0.11860187351703644,468, us,889, expl,889 253 468 1013 3827, expl |  a |  us |  ent |  util,False,True,3,1.1952767372131348
easy,11,0.021957581862807274,0.943755567073822,0.05171212926506996,0.8920434378087521,286,ic,286,ic,286 270 1496 4099 6160,ic | or | ique | ico | í,True,True,1,0.3249865472316742
easy,12,0.0009680956718511879,0.9988038539886475,0.0006926185451447964,0.9981112354435027,280,ar,280,ar,280 5415 29565 19347 994,ar | á | arte | ando | arm,True,True,1,0.009638681076467037
easy,13,0.009547687135636806,0.9884373545646667,0.0011620325967669487,0.9872753219678998,26411, é,649, em,649 26411 20819 379 253, em |  é |  para |  com |  a,False,True,2,6.111303806304932
easy,14,0.025269050151109695,0.9473815560340881,0.0392693355679512,0.9081122204661369,326, u,326, u,326 26969 3871 578 386, u |  um |  alg |  out |  v,True,True,1,0.028870748355984688
easy,15,3.058564743696479e-06,0.9999978542327881,1.6106093880807748e-06,0.9999962436234,2432,ma,2432,ma,2432 7227 5831 93 95,ma | MA | mas | m | o,True,True,1,1.9324997992953286e-06
easy,16,0.10531497001647949,0.8288872838020325,0.024301717057824135,0.8045855667442083,10046, fr,10046, fr,10046 910 275 8767 578, fr |  form |  f |  fra |  out,True,True,1,0.06898233294487
easy,17,7.139302033465356e-05,0.999927282333374,7.197083323262632e-05,0.9998553115001414,576,ase,576,ase,576 1049 13108 22069 821,ase | ases | ASE | ê | ased,True,True,1,1.808118395274505e-05
easy,18,0.07178531587123871,0.8213555216789246,0.10639753192663193,0.7149579897522926,26411, é,26411, é,26411 263 379 649 10168, é |  o |  com |  em |  que,True,True,1,0.2270093858242035
easy,19,0.055442702025175095,0.8919021487236023,0.033475350588560104,0.8584267981350422,42,:,476," """,476 253 42 216 263," "" |  a | : |   |  o",False,True,3,2.392947196960449
easy,20,0.38849344849586487,0.12883831560611725,0.12137731909751892,0.007460996508598328,63,O,5415,á,5415 49 142 33269 81,á | A | � | aqu | a,False,False,,3.451024055480957
easy,21,0.007158266846090555,0.9908272624015808,0.0032448042184114456,0.9875824581831694,6058,gu,6058,gu,6058 87 16132 92 385,gu | g | rea | l | qu,True,True,1,0.0063826958648860455
