prompt_name,entropy_threshold,margin_threshold,total_steps,accepted_count,accept_rate,precision_accept,false_accept_count,false_accept_rate,expensive_calls,estimated_saved_percent
easy,0.3,0.1,40,37,0.925,0.9459459459459459,2,0.05405405405405406,3,57.5
easy,0.3,0.15,40,34,0.85,0.9705882352941176,1,0.029411764705882353,6,50.0
easy,0.3,0.2,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.3,0.25,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.3,0.3,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.35,0.1,40,37,0.925,0.9459459459459459,2,0.05405405405405406,3,57.5
easy,0.35,0.15,40,34,0.85,0.9705882352941176,1,0.029411764705882353,6,50.0
easy,0.35,0.2,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.35,0.25,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.35,0.3,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.4,0.1,40,37,0.925,0.9459459459459459,2,0.05405405405405406,3,57.5
easy,0.4,0.15,40,34,0.85,0.9705882352941176,1,0.029411764705882353,6,50.0
easy,0.4,0.2,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.4,0.25,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.4,0.3,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.45,0.1,40,37,0.925,0.9459459459459459,2,0.05405405405405406,3,57.5
easy,0.45,0.15,40,34,0.85,0.9705882352941176,1,0.029411764705882353,6,50.0
easy,0.45,0.2,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.45,0.25,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.45,0.3,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.5,0.1,40,37,0.925,0.9459459459459459,2,0.05405405405405406,3,57.5
easy,0.5,0.15,40,34,0.85,0.9705882352941176,1,0.029411764705882353,6,50.0
easy,0.5,0.2,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.5,0.25,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.5,0.3,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.55,0.1,40,37,0.925,0.9459459459459459,2,0.05405405405405406,3,57.5
easy,0.55,0.15,40,34,0.85,0.9705882352941176,1,0.029411764705882353,6,50.0
easy,0.55,0.2,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.55,0.25,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
easy,0.55,0.3,40,33,0.825,0.9696969696969697,1,0.030303030303030304,7,47.5
math,0.3,0.1,40,34,0.85,1.0,0,0.0,6,50.0
math,0.3,0.15,40,30,0.75,1.0,0,0.0,10,40.0
math,0.3,0.2,40,29,0.725,1.0,0,0.0,11,37.5
math,0.3,0.25,40,28,0.7,1.0,0,0.0,12,35.0
math,0.3,0.3,40,28,0.7,1.0,0,0.0,12,35.0
math,0.35,0.1,40,34,0.85,1.0,0,0.0,6,50.0
math,0.35,0.15,40,30,0.75,1.0,0,0.0,10,40.0
math,0.35,0.2,40,29,0.725,1.0,0,0.0,11,37.5
math,0.35,0.25,40,28,0.7,1.0,0,0.0,12,35.0
math,0.35,0.3,40,28,0.7,1.0,0,0.0,12,35.0
math,0.4,0.1,40,35,0.875,0.9714285714285714,1,0.02857142857142857,5,52.5
math,0.4,0.15,40,31,0.775,0.967741935483871,1,0.03225806451612903,9,42.5
math,0.4,0.2,40,30,0.75,0.9666666666666667,1,0.03333333333333333,10,40.0
math,0.4,0.25,40,29,0.725,0.9655172413793104,1,0.034482758620689655,11,37.5
math,0.4,0.3,40,28,0.7,1.0,0,0.0,12,35.0
math,0.45,0.1,40,35,0.875,0.9714285714285714,1,0.02857142857142857,5,52.5
math,0.45,0.15,40,31,0.775,0.967741935483871,1,0.03225806451612903,9,42.5
